City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Baherden,TM,78.35,clear sky,38.4362,57.4316,
247,Ilheus,BR,85.82,few clouds,-14.7889,-39.0494,Barravento Hotel
252,Jalingo,NG,87.93,overcast clouds,8.8833,11.3667,Debright Motel
253,Axim,GH,81.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
255,Nkayi,CG,76.41,broken clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
257,Bucerias,MX,82.15,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
258,Russell,US,75.06,clear sky,32.3502,-85.1999,Macs
261,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
266,Caravelas,BR,80.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
267,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
269,Fare,PF,81.75,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
274,Mandera,KE,92.57,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
276,Vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
277,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
284,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
285,Valle De Allende,MX,83.01,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
292,Darapidap,PH,83.01,overcast clouds,17.2131,120.4114,Candon Beach Resort
295,Vallenar,CL,82.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
296,Tucuma,BR,80.08,light rain,-0.1833,-50.05,
297,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
298,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
303,Berbera,SO,84.13,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
305,Tucupita,VE,83.7,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
309,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
316,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
317,Ati,TD,90.86,overcast clouds,13.2154,18.3353,
325,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
326,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
328,Port-Gentil,GA,81.12,scattered clouds,-0.7193,8.7815,Fengshui Residence
329,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
331,Buala,SB,78.28,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
338,Carutapera,BR,79.02,heavy intensity rain,-1.195,-46.02,Lidera
342,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
344,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
345,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
346,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
347,Carnaiba,BR,83.46,overcast clouds,-8.7,-37.6667,
349,Khowai,IN,75.51,few clouds,24.1,91.6333,RD GAMING
351,Lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
353,Ijero,NG,84.43,few clouds,6.4819,3.3803,Esporta Suites Yaba
