City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Labuhan,ID,-6.8844,112.2051,75.49,90,100,9.31,overcast clouds
79,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,45,11.61,light rain
80,Batyrevo,RU,55.0675,47.6111,33.28,90,100,11.74,overcast clouds
81,Aykhal,RU,66.0,111.5,3.76,97,100,8.43,overcast clouds
82,Batangafo,CF,7.3008,18.2833,80.56,61,94,11.1,overcast clouds
83,Yamada,JP,39.4667,141.95,44.22,90,100,5.35,overcast clouds
84,Khandyga,RU,62.6667,135.6,1.13,97,98,3.6,overcast clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,12.66,scattered clouds
86,Inhambane,MZ,-23.865,35.3833,76.98,94,20,4.61,few clouds
87,Lagoa,PT,39.05,-27.9833,58.95,82,0,19.17,clear sky
88,Constitucion,CL,-35.3333,-72.4167,62.78,44,0,22.1,clear sky
89,Faanui,PF,-16.4833,-151.75,81.82,75,71,10.51,broken clouds
90,Miyako,JP,39.6367,141.9525,43.88,88,100,6.06,overcast clouds
91,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,19.57,few clouds
92,Kaitangata,NZ,-46.2817,169.8464,47.16,94,92,5.17,overcast clouds
93,Portland,US,45.5234,-122.6762,55.63,67,100,9.22,overcast clouds
94,Mabaruma,GY,8.2,-59.7833,82.17,65,100,7.61,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,30.22,74,75,4.61,broken clouds
96,Ponta Do Sol,PT,32.6667,-17.1,61.43,71,100,15.35,overcast clouds
97,Clyde River,CA,70.4692,-68.5914,12.43,85,75,8.05,broken clouds
98,Leningradskiy,RU,69.3833,178.4167,-17.82,100,95,2.51,overcast clouds
99,Teya,RU,60.3778,92.6267,-1.37,100,75,3.8,broken clouds
100,Mokhsogollokh,RU,61.4681,128.9203,7.29,98,100,2.19,overcast clouds
101,Tezu,IN,27.9167,96.1667,66.15,96,100,4.65,light rain
102,Morgaushi,RU,55.9643,46.7743,32.16,96,100,9.86,overcast clouds
103,Chake Chake,TZ,-5.2459,39.7666,80.26,79,57,6.15,broken clouds
104,Roald,NO,62.5833,6.1333,38.75,93,75,3.44,light shower snow
105,Bairiki,KI,1.3292,172.9752,80.6,78,40,6.91,scattered clouds
106,Bowen,AU,-20.0167,148.2333,77.97,80,40,7.23,scattered clouds
107,Elat,IL,29.5581,34.9482,80.44,12,0,18.41,clear sky
108,San Ramon,US,37.7799,-121.978,79.02,39,0,9.22,clear sky
109,Saint-Augustin,CA,51.226,-58.6502,36.39,91,74,15.19,broken clouds
110,Cidreira,BR,-30.1811,-50.2056,69.98,95,100,19.13,moderate rain
111,Stephenville Crossing,CA,48.5,-58.4318,36.21,86,75,18.41,broken clouds
112,Xingyi,CN,24.1877,102.817,45.61,80,4,2.48,clear sky
113,Kodiak,US,57.79,-152.4072,36.91,65,100,11.5,overcast clouds
114,Upernavik,GL,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
115,Arman,RU,59.7,150.1667,4.05,91,20,6.51,few clouds
116,East London,ZA,-33.0153,27.9116,72.39,89,100,15.41,overcast clouds
117,Qaanaaq,GL,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
118,Den Helder,NL,52.9599,4.7593,42.78,75,75,13.0,broken clouds
119,Barrow,US,71.2906,-156.7887,-7.58,71,40,16.11,mist
120,Tshikapa,CD,-6.4167,20.8,73.02,90,26,3.2,light rain
121,Bilibino,RU,68.0546,166.4372,-7.46,95,49,4.34,scattered clouds
122,Cuiaba,BR,-15.5961,-56.0967,89.53,55,20,5.75,few clouds
123,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
124,Maldonado,UY,-34.6667,-54.9167,74.59,56,70,12.86,broken clouds
125,Tamiahua,MX,21.2667,-97.45,83.01,61,98,12.01,overcast clouds
126,Cherskiy,RU,68.75,161.3,-2.67,98,100,3.6,overcast clouds
127,Murray Bridge,AU,-35.1167,139.2667,54.12,93,5,2.95,clear sky
128,Thompson,CA,55.7435,-97.8558,37.56,48,100,11.5,overcast clouds
129,Klaksvik,FO,62.2266,-6.589,45.52,98,100,17.2,overcast clouds
130,Oum Hadjer,TD,13.2954,19.6966,91.18,8,81,11.1,broken clouds
131,Cape Town,ZA,-33.9258,18.4232,65.12,81,0,13.8,clear sky
132,Atambua,ID,-9.1061,124.8925,71.01,85,22,2.66,few clouds
133,The Valley,AI,18.217,-63.0578,84.06,61,20,14.97,few clouds
134,Hasaki,JP,35.7333,140.8333,48.29,75,98,21.16,light rain
135,Hutang,CN,31.5333,119.4833,44.06,81,88,7.09,overcast clouds
136,Bumba,CD,2.1833,22.4667,74.37,77,30,1.25,scattered clouds
137,Bacolod,PH,10.6667,122.95,78.15,84,98,11.52,overcast clouds
138,Lahore,PK,31.5497,74.3436,80.58,41,0,8.05,haze
139,Marsh Harbour,BS,26.5412,-77.0636,78.13,71,55,13.69,broken clouds
140,Chapais,CA,49.7834,-74.8492,38.98,85,100,5.99,overcast clouds
141,Kapaa,US,22.0752,-159.319,77.18,77,40,20.71,scattered clouds
142,Sitka,US,57.0531,-135.33,39.09,87,100,17.27,moderate rain
143,Saint-Philippe,RE,-21.3585,55.7679,74.79,91,100,13.73,heavy intensity rain
144,Gizycko,PL,54.0381,21.7644,28.24,68,45,6.51,scattered clouds
145,Port Blair,IN,11.6667,92.75,82.44,78,40,5.75,mist
146,Lebu,CL,-37.6167,-73.65,56.89,63,0,18.63,clear sky
147,Olean,US,42.0776,-78.4297,36.66,80,100,6.91,light snow
148,Pevek,RU,69.7008,170.3133,-19.73,96,24,2.28,few clouds
149,Komsomolskiy,UZ,40.4272,71.7189,57.92,62,100,6.91,overcast clouds
150,Tura,IN,25.5198,90.2201,69.84,94,11,6.31,moderate rain
