City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Oranjemund,-28.55,16.4333,63.81,77,5,12.57,NA,2022-04-02 15:26:57
67,Khatanga,71.9667,102.5,0.54,97,100,5.82,RU,2022-04-02 15:36:56
68,Tank,32.2217,70.3793,85.68,9,0,3.13,PK,2022-04-02 15:36:56
69,Luderitz,-26.6481,15.1594,67.48,65,0,24.16,NA,2022-04-02 15:36:57
70,Hami,42.8,93.45,56.57,11,42,6.87,CN,2022-04-02 15:36:57
71,Ponta Do Sol,32.6667,-17.1,65.12,80,77,7.96,PT,2022-04-02 15:36:58
72,Boa Vista,2.8197,-60.6733,93.18,38,20,9.22,BR,2022-04-02 15:36:58
73,Provideniya,64.3833,-173.3,8.13,67,1,10.69,RU,2022-04-02 15:36:58
74,Nikolskoye,59.7035,30.7861,33.8,88,56,6.33,RU,2022-04-02 15:36:59
75,Sharjah,25.3573,55.4033,80.89,69,0,10.36,AE,2022-04-02 15:36:59
76,Bengkulu,-3.8004,102.2655,78.06,79,94,4.76,ID,2022-04-02 15:36:59
77,Gorontalo,0.5412,123.0595,75.16,96,100,3.67,ID,2022-04-02 15:27:01
78,Mnogovershinnyy,53.9353,139.9242,17.67,92,100,4.83,RU,2022-04-02 15:37:00
79,Lagoa,39.05,-27.9833,58.68,67,5,11.88,PT,2022-04-02 15:37:00
80,East London,-33.0153,27.9116,63.54,100,100,8.05,ZA,2022-04-02 15:37:01
81,Narsaq,60.9167,-46.05,43.02,83,100,3.71,GL,2022-04-02 15:35:21
82,Thompson,55.7435,-97.8558,14.16,67,20,8.05,CA,2022-04-02 15:33:55
83,Bredasdorp,-34.5322,20.0403,63.72,68,86,16.15,ZA,2022-04-02 15:35:12
84,Channel-Port Aux Basques,47.5702,-59.1367,32.85,99,100,27.65,CA,2022-04-02 15:36:51
85,Katsuura,35.1333,140.3,51.26,64,100,12.21,JP,2022-04-02 15:38:02
86,Mercedes,-34.6515,-59.4307,69.64,35,0,14.65,AR,2022-04-02 15:34:01
87,Busselton,-33.65,115.3333,71.96,73,97,4.16,AU,2022-04-02 15:38:03
88,Port Alfred,-33.5906,26.891,64.18,89,100,14.05,ZA,2022-04-02 15:35:16
89,Victoria,22.2855,114.1577,61.32,70,100,5.01,HK,2022-04-02 15:34:55
90,Zhaoyang,42.682,126.0305,37.51,51,0,6.29,CN,2022-04-02 15:38:03
91,Bairiki,1.3292,172.9752,80.6,89,40,4.61,KI,2022-04-02 15:38:04
92,Pingzhuang,42.0372,119.2889,44.65,27,2,4.79,CN,2022-04-02 15:38:04
93,Egvekinot,66.3167,-179.1667,-9.99,88,13,14.36,RU,2022-04-02 15:38:05
94,Hermanus,-34.4187,19.2345,63.81,71,94,19.19,ZA,2022-04-02 15:35:24
95,Bluff,-46.6,168.3333,57.43,74,69,17.02,NZ,2022-04-02 15:38:05
96,Saskylakh,71.9167,114.0833,2.52,96,99,10.38,RU,2022-04-02 15:38:06
97,Butaritari,3.0707,172.7902,81.48,75,29,16.46,KI,2022-04-02 15:38:06
98,Taoudenni,22.6783,-3.9836,99.61,4,0,14.2,ML,2022-04-02 15:38:06
99,Tuktoyaktuk,69.4541,-133.0374,-25.6,75,40,9.22,CA,2022-04-02 15:35:13
100,Namibe,-15.1961,12.1522,74.82,76,98,10.33,AO,2022-04-02 15:29:27
101,Houston,29.7633,-95.3633,73.26,74,100,3.44,US,2022-04-02 15:33:55
102,Mataram,-8.5833,116.1167,77.81,84,100,2.04,ID,2022-04-02 15:35:22
103,Faanui,-16.4833,-151.75,81.73,72,100,5.35,PF,2022-04-02 15:38:07
104,Buraydah,26.326,43.975,93.65,9,87,11.36,SA,2022-04-02 15:38:08
105,Maarianhamina,60.0973,19.9348,33.66,64,0,10.36,AX,2022-04-02 15:38:08
106,Rio Grande,-32.035,-52.0986,75.31,55,0,10.11,BR,2022-04-02 15:33:45
107,Benguela,-12.5763,13.4055,79.29,79,99,8.72,AO,2022-04-02 15:38:09
108,Georgetown,5.4112,100.3354,78.73,94,20,5.01,MY,2022-04-02 15:30:15
109,Troitsko-Pechorsk,62.7084,56.1964,11.73,93,100,1.59,RU,2022-04-02 15:38:10
110,Davila,18.4726,120.5763,78.78,85,68,23.42,PH,2022-04-02 15:38:10
111,Muscat,23.6139,58.5922,86.02,45,0,3.85,OM,2022-04-02 15:38:10
112,Naze,28.3667,129.4833,61.72,66,98,12.84,JP,2022-04-02 15:38:11
113,Yabrud,33.9674,36.6574,64.54,31,50,3.04,SY,2022-04-02 15:38:11
114,Liverpool,53.4106,-2.9779,50.79,57,20,5.01,GB,2022-04-02 15:35:08
115,Fortuna,40.5982,-124.1573,46.92,95,0,8.05,US,2022-04-02 15:38:12
116,Port Lincoln,-34.7333,135.8667,60.31,76,92,10.42,AU,2022-04-02 15:38:12
117,Avarua,-21.2078,-159.775,73.45,100,86,2.3,CK,2022-04-02 15:35:22
118,Jinka,5.65,36.65,76.55,42,93,1.45,ET,2022-04-02 15:38:12
119,Punta Arenas,-53.15,-70.9167,44.71,93,100,4.61,CL,2022-04-02 15:35:18
120,Arman,59.7,150.1667,12.02,80,100,5.95,RU,2022-04-02 15:38:13
121,Sao Joao Da Barra,-21.6403,-41.0511,87.89,68,4,7.34,BR,2022-04-02 15:35:53
122,Linjiang,41.8069,126.9078,34.45,56,0,1.97,CN,2022-04-02 15:38:13
123,San Cristobal,7.7669,-72.225,77.18,44,41,8.93,VE,2022-04-02 15:38:14
124,Zubtsov,56.1753,34.5894,30.42,96,100,16.26,RU,2022-04-02 15:38:14
125,Riyadh,24.6877,46.7219,91.54,10,3,7.02,SA,2022-04-02 15:35:38
126,Bathsheba,13.2167,-59.5167,84.81,58,20,25.32,BB,2022-04-02 15:33:26
127,Mildura,-34.2,142.15,62.56,67,100,8.05,AU,2022-04-02 15:34:19
